+1	This book is such a life saver.  It has been so helpful to be able to go back to track trends, answer pediatrician questions, or communicate with each other when you are up at different times of the night with a newborn.  I think it is one of those things that everyone should be required to have before they leave the hospital.  We went through all the pages of the newborn version, then moved to the infant version, and will finish up the second infant book (third total) right as our baby turns 1.  See other things that are must haves for baby at [...]
+1	I bought this a few times for my older son and have bought it again for my newborn. This is super easy to use and helps me keep track of his daily routine. When he started going to the sitter when I went back to work, it helped me know how his day went to better prepare me for how the evening would most likely go. When he was sick, it help me keep track of how many diapers a day he was producing to make sure he was getting dehydrated. The note sections to the side and bottom are useful too because his sitter writes in small notes about whether or not he liked his lunch or if the playtime included going for a walk, etc.Excellent for moms who are wanting to keep track of their kids daily routine even though they are at work. Excellent for dads to keep track as my husband can quickly forget what time he fed our son. LOL
+1	This is great for basics, but I wish the space to write things in was bigger. A lot times I need struggle trying to read what the caretaker wrote in because the spaces go together.
+1	This book is perfect!  I'm a first time new mom, and this book made it so easy to keep track of feedings, diaper changes, sleep.  Definitely would recommend this for new moms.  Plus it's small enough that I throw in the diaper back for doctor visits.
+1	During your postpartum stay at the hospital the nurses will ask you to keep a log of your baby's feedings, urination and bowel movements. However, when you get home you do not have a nurse to remind you or ask when your baby's last bowel movement was and you are so overwhelmed with the new schedule you can't even remember what day it is. The daily tracker helped us so much because once we got home our baby cried all the time, could not sleep and we were having major problems breastfeeding. It was so bad we had to contact our pediatrician's after hours on-call doctor. Looking at the tracker we realized a trend, the baby was not feeding for a long time AND we had very few wet diapers and bowel movements. This was an indication our baby was dehydrated and the doctor suggested we start pumping breast milk (to see how much we get) and supplement with formula until sufficient breast milk finally came in. The feeding column we wrote how many ounces of breast milk or formula we gave and how long he breast fed for. In the comments column we use it for tracking how much water I drink because I was not drinking enough to make an adequate supply of breastmilk. For a while I wasn't sure what was giving him horrible gas, so I started to track what I ate in case it was a food allergy (we have a peanut allergy in the family). We even write notes about his first smile, who came to visit, ect to keep in his memory box.
+1	This book is a great way for keeping track of daily changing and feedings.  My only wish is that it was in a 24 hour format.  But other than that it is great.
+1	Easy to use, simple! I got this when my baby was 2 months old and love it. It makes it easy to track things and write down developmental notes in an organized way. I know moms who create spreadsheets of their baby's nap times, etc. But I'm not one of those people! This book is practical and great!
+1	This item was extremely helpful, especially with 3 adults sharing baby care responsibilities. My husband of mom didn't have to wake me up to ask when the baby had eaten or been changed. It helped me keep a written record to take to Dr appts so I had all the information they ask you for on hand already, and even helped me note and analyze baby's sleep patterns once he got a little older. Definitely a useful item to have.
+1	Of course this has been a great/easy way for me to record all of my baby's routines and a simple way for his caregiver to let me know how the day went.  What I really love about it, though, is that it was so easy for me to jot down all of his major milestones as they happened.  I knew that I wouldn't have time to work on his baby book in the beginning (and sure enough I didn't even get it out until after 2 months), and because I had this book I was able to finally transfer everything over.  Life saver!!  All of the funny little things would probably have been forgotten!
+1	I didn't think I would really use this and I was wrong.In the hospital they were constantly asking &#34;when was her last diaper?&#34;, &#34;when did she eat and for how long?&#34; - ummmm I was on pain killers for a c-section and a mass of hormones. I finally got this out and started keeping track using this.Yes, you could just use regular paper, but I liked the layout of the pages and it was just what we needed a we slowly lst our minds for the first 6 weeks.I an on giving this as a shower gift to the next first time mom :)


